customer_id,prob,default
100000,0.07775,0.0
100001,0.13219,0.0
100002,0.35671,1.0
100003,0.30391,1.0
100004,0.47241,1.0
100005,0.12925,0.0
100006,0.10493,0.0
100007,0.20321,0.0
100008,0.04654,0.0
100009,0.14471,0.0
100010,0.09708,0.0
100011,0.12217,0.0
100012,0.13151,0.0
100013,0.12832,0.0
100014,0.07938,0.0
100015,0.10682,0.0
100016,0.17814,0.0
100017,0.07356,0.0
100018,0.58348,1.0
100019,0.18031,0.0
100020,0.28917,1.0
100021,0.89745,1.0
100022,0.14888,0.0
100023,0.19883,0.0
100024,0.37826,1.0
100025,0.11238,0.0
100026,0.05652,0.0
100027,0.51868,1.0
100028,0.06925,0.0
100029,0.35775,1.0
100030,0.50272,1.0
100031,0.30976,1.0
100032,0.19563,0.0
100033,0.24185,0.0
100034,0.11101,0.0
100035,0.15239,0.0
100036,0.16965,0.0
100037,0.14166,0.0
100038,0.11604,0.0
100039,0.12789,0.0
100040,0.23506,0.0
100041,0.07526,0.0
100042,0.73902,1.0
100043,0.55889,1.0
100044,0.19083,0.0
100045,0.15869,0.0
100046,0.39804,1.0
100047,0.42488,1.0
100048,0.0653,0.0
100049,0.13998,0.0
100050,0.45928,1.0
100051,0.12399,0.0
100052,0.85098,1.0
100053,0.35557,1.0
100054,0.23957,0.0
100055,0.30197,1.0
100056,0.09711,0.0
100057,0.22455,0.0
100058,0.04864,0.0
100059,0.13134,0.0
100060,0.63695,1.0
100061,0.10331,0.0
100062,0.15396,0.0
100063,0.38885,1.0
100064,0.19527,0.0
100065,0.26555,1.0
100066,0.04466,0.0
100067,0.07445,0.0
100068,0.25591,0.0
100069,0.24793,0.0
100070,0.12649,0.0
100071,0.73176,1.0
100072,0.18704,0.0
100073,0.1043,0.0
100074,0.4934,1.0
100075,0.25104,0.0
100076,0.12159,0.0
100077,0.22402,0.0
100078,0.22945,0.0
100079,0.04572,0.0
100080,0.6334,1.0
100081,0.71482,1.0
100082,0.02875,0.0
100083,0.38122,1.0
100084,0.13561,0.0
100085,0.26592,1.0
100086,0.36176,1.0
100087,0.52152,1.0
100088,0.13163,0.0
100089,0.10172,0.0
100090,0.38837,1.0
100091,0.03141,0.0
100092,0.08676,0.0
100093,0.11346,0.0
100094,0.20418,0.0
100095,0.08685,0.0
100096,0.1263,0.0
100097,0.1108,0.0
100098,0.15949,0.0
100099,0.3117,1.0
100100,0.74004,1.0
100101,0.14275,0.0
100102,0.15488,0.0
100103,0.2973,1.0
100104,0.06625,0.0
100105,0.10461,0.0
100106,0.06401,0.0
100107,0.13342,0.0
100108,0.05255,0.0
100109,0.08429,0.0
100110,0.15241,0.0
100111,0.12473,0.0
100112,0.13245,0.0
100113,0.33667,1.0
100114,0.55121,1.0
100115,0.08091,0.0
100116,0.07635,0.0
100117,0.22847,0.0
100118,0.23911,0.0
100119,0.33974,1.0
100120,0.07989,0.0
100121,0.14426,0.0
100122,0.0667,0.0
100123,0.26113,0.0
100124,0.07849,0.0
100125,0.0722,0.0
100126,0.68303,1.0
100127,0.06496,0.0
100128,0.10014,0.0
100129,0.15504,0.0
100130,0.05012,0.0
100131,0.45644,1.0
100132,0.19671,0.0
100133,0.10673,0.0
100134,0.33724,1.0
100135,0.2717,1.0
100136,0.1544,0.0
100137,0.10161,0.0
100138,0.10532,0.0
100139,0.34261,1.0
100140,0.17986,0.0
100141,0.43142,1.0
100142,0.41104,1.0
100143,0.26081,0.0
100144,0.07832,0.0
100145,0.6318,1.0
100146,0.56681,1.0
100147,0.2012,0.0
100148,0.18631,0.0
100149,0.68027,1.0
100150,0.13701,0.0
100151,0.1137,0.0
100152,0.29539,1.0
100153,0.04838,0.0
100154,0.43543,1.0
100155,0.29575,1.0
100156,0.09073,0.0
100157,0.15166,0.0
100158,0.08955,0.0
100159,0.08478,0.0
100160,0.17508,0.0
100161,0.35528,1.0
100162,0.10999,0.0
100163,0.31112,1.0
100164,0.17321,0.0
100165,0.28278,1.0
100166,0.62313,1.0
100167,0.70212,1.0
100168,0.13827,0.0
100169,0.04195,0.0
100170,0.06015,0.0
100171,0.49643,1.0
100172,0.14916,0.0
100173,0.26901,1.0
100174,0.18769,0.0
100175,0.13565,0.0
100176,0.34,1.0
100177,0.09778,0.0
100178,0.05945,0.0
100179,0.15716,0.0
100180,0.17778,0.0
100181,0.06474,0.0
100182,0.42949,1.0
100183,0.14998,0.0
100184,0.38532,1.0
100185,0.08956,0.0
100186,0.06644,0.0
100187,0.30083,1.0
100188,0.24034,0.0
100189,0.08856,0.0
100190,0.06659,0.0
100191,0.2742,1.0
100192,0.39719,1.0
100193,0.1413,0.0
100194,0.11998,0.0
100195,0.08505,0.0
100196,0.50483,1.0
100197,0.63354,1.0
100198,0.1717,0.0
100199,0.09905,0.0
100200,0.52746,1.0
100201,0.0722,0.0
100202,0.04965,0.0
100203,0.24687,0.0
100204,0.09988,0.0
100205,0.06967,0.0
100206,0.60115,1.0
100207,0.08061,0.0
100208,0.34585,1.0
100209,0.17163,0.0
100210,0.14977,0.0
100211,0.05746,0.0
100212,0.08132,0.0
100213,0.09087,0.0
100214,0.39399,1.0
100215,0.07861,0.0
100216,0.38953,1.0
100217,0.75121,1.0
100218,0.09709,0.0
100219,0.08171,0.0
100220,0.4863,1.0
100221,0.05468,0.0
100222,0.35492,1.0
100223,0.46433,1.0
100224,0.1515,0.0
100225,0.18241,0.0
100226,0.40727,1.0
100227,0.04504,0.0
100228,0.11583,0.0
100229,0.10814,0.0
100230,0.21367,0.0
100231,0.28849,1.0
100232,0.06054,0.0
100233,0.05714,0.0
100234,0.12006,0.0
100235,0.19052,0.0
100236,0.27889,1.0
100237,0.48994,1.0
100238,0.22818,0.0
100239,0.3552,1.0
100240,0.45652,1.0
100241,0.07355,0.0
100242,0.3851,1.0
100243,0.08349,0.0
100244,0.27347,1.0
100245,0.28689,1.0
100246,0.20218,0.0
100247,0.16449,0.0
100248,0.23036,0.0
100249,0.09898,0.0
100250,0.33504,1.0
100251,0.2187,0.0
100252,0.03536,0.0
100253,0.09667,0.0
100254,0.15168,0.0
100255,0.06078,0.0
100256,0.12823,0.0
100257,0.19973,0.0
100258,0.24427,0.0
100259,0.1326,0.0
100260,0.51961,1.0
100261,0.18231,0.0
100262,0.32887,1.0
100263,0.15778,0.0
100264,0.1856,0.0
100265,0.74245,1.0
100266,0.14101,0.0
100267,0.10062,0.0
100268,0.08684,0.0
100269,0.20492,0.0
100270,0.27258,1.0
100271,0.52125,1.0
100272,0.09298,0.0
100273,0.18372,0.0
100274,0.43227,1.0
100275,0.23752,0.0
100276,0.07855,0.0
100277,0.14958,0.0
100278,0.33,1.0
100279,0.09941,0.0
100280,0.15601,0.0
100281,0.1721,0.0
100282,0.06351,0.0
100283,0.08698,0.0
100284,0.25665,0.0
100285,0.08561,0.0
100286,0.40936,1.0
100287,0.24179,0.0
100288,0.28435,1.0
100289,0.19261,0.0
100290,0.45838,1.0
100291,0.2623,0.0
100292,0.16834,0.0
100293,0.26598,1.0
100294,0.47416,1.0
100295,0.31134,1.0
100296,0.42954,1.0
100297,0.0394,0.0
100298,0.05313,0.0
100299,0.05487,0.0
100300,0.14339,0.0
100301,0.42628,1.0
100302,0.5486,1.0
100303,0.09609,0.0
100304,0.08321,0.0
100305,0.63696,1.0
100306,0.05262,0.0
100307,0.19835,0.0
100308,0.1112,0.0
100309,0.11205,0.0
100310,0.23776,0.0
100311,0.18728,0.0
100312,0.39235,1.0
100313,0.08062,0.0
100314,0.15632,0.0
100315,0.18145,0.0
100316,0.11522,0.0
100317,0.37661,1.0
100318,0.85257,1.0
100319,0.10645,0.0
100320,0.14466,0.0
100321,0.1305,0.0
100322,0.44101,1.0
100323,0.19874,0.0
100324,0.23483,0.0
100325,0.38549,1.0
100326,0.17712,0.0
100327,0.13049,0.0
100328,0.17201,0.0
100329,0.11106,0.0
100330,0.14726,0.0
100331,0.21268,0.0
100332,0.21134,0.0
100333,0.57856,1.0
100334,0.059,0.0
100335,0.52554,1.0
100336,0.08024,0.0
100337,0.2406,0.0
100338,0.09766,0.0
100339,0.71179,1.0
100340,0.80195,1.0
100341,0.17223,0.0
100342,0.05006,0.0
100343,0.32827,1.0
100344,0.16503,0.0
100345,0.48187,1.0
100346,0.14738,0.0
100347,0.2894,1.0
100348,0.86483,1.0
100349,0.21726,0.0
100350,0.25681,0.0
100351,0.11914,0.0
100352,0.0893,0.0
100353,0.11103,0.0
100354,0.25115,0.0
100355,0.71712,1.0
100356,0.32509,1.0
100357,0.32598,1.0
100358,0.06286,0.0
100359,0.22831,0.0
100360,0.17137,0.0
100361,0.0579,0.0
100362,0.44158,1.0
100363,0.09524,0.0
100364,0.73751,1.0
100365,0.20959,0.0
100366,0.18979,0.0
100367,0.13335,0.0
100368,0.78429,1.0
100369,0.11026,0.0
100370,0.34761,1.0
100371,0.10312,0.0
100372,0.13256,0.0
100373,0.11899,0.0
100374,0.11396,0.0
100375,0.38391,1.0
100376,0.81469,1.0
100377,0.25804,0.0
100378,0.12876,0.0
100379,0.10984,0.0
100380,0.8451,1.0
100381,0.25489,0.0
100382,0.24054,0.0
100383,0.13373,0.0
100384,0.09315,0.0
100385,0.19525,0.0
100386,0.46843,1.0
100387,0.12835,0.0
100388,0.10213,0.0
100389,0.51427,1.0
100390,0.32402,1.0
100391,0.06329,0.0
100392,0.08403,0.0
100393,0.4217,1.0
100394,0.52032,1.0
100395,0.15803,0.0
100396,0.23499,0.0
100397,0.06562,0.0
100398,0.44069,1.0
100399,0.11306,0.0
100400,0.13836,0.0
100401,0.09976,0.0
100402,0.12095,0.0
100403,0.188,0.0
100404,0.12596,0.0
100405,0.38083,1.0
100406,0.05554,0.0
100407,0.14484,0.0
100408,0.46302,1.0
100409,0.09696,0.0
100410,0.11673,0.0
100411,0.13402,0.0
100412,0.13014,0.0
100413,0.31177,1.0
100414,0.1784,0.0
100415,0.32696,1.0
100416,0.66175,1.0
100417,0.23623,0.0
100418,0.08862,0.0
100419,0.57361,1.0
100420,0.28508,1.0
100421,0.15642,0.0
